Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
smoking cigar,pose,"a smoker, a chain smoker, a cigarette smoker","smoking, smoke, a cigar, an ashtray, an ash tray, ash, cigar ash, a puff, a cigarette, a habit, a cigarette habit, a cigarette butt, a smokescreen, the tobacco industry, big tobacco","of second hand smoke, of cigar smoke, on a cigarette, smoking a cigar, full of butts, of smoke, on smoking, full of potheads, in a petri dish, full of smoke, filled with smoke, chain-smoking Gauloises Bleues, blowing smoke rings, smoking Boyard cigarettes, smoking cigarettes, smoking cigars, smoking during recess, smoking herb, smoking Laramie Hi-Tars, smoking Silk Cut cigarettes, smoking a joint","drinking, sipping","smoking cigar a smoker, a chain smoker, a cigarette smoker smoking, smoke, a cigar, an ashtray, an ash tray, ash, cigar ash, a puff, a cigarette, a habit, a cigarette habit, a cigarette butt, a smokescreen, the tobacco industry, big tobacco of second hand smoke, of cigar smoke, on a cigarette, smoking a cigar, full of butts, of smoke, on smoking, full of potheads, in a petri dish, full of smoke, filled with smoke, chain-smoking Gauloises Bleues, blowing smoke rings, smoking Boyard cigarettes, smoking cigarettes, smoking cigars, smoking during recess, smoking herb, smoking Laramie Hi-Tars, smoking Silk Cut cigarettes, smoking a joint"
space cadet,pose,"a space cadet, an astronaut, a spaceman, a cosmonaut","a spacesuit, a space suit, a spacecraft, a UFO, a rocket, a spaceship, a time traveler, a thrill ride, a space mission","from the moon, in zero gravity, in a space suit, of infinite space, of space exploration,in a spacesuit, of discovery, to outer space, of space, in deep space, to Mars, for the intrepid, to Jupiter, on a comet, to Venus, of a UFO, to space camp, in a spaceship, in Star Trek, for Star Trek, on Star Wars, from star fleet, from Starfleet Command, to Mercury, on a rocket, to another planet, in a rocket, through the galaxy, through time and space, across the galaxy, of the galaxy, in a spacecraft, in a uniform, from another planet, for the stars, in outer space, of intergalactic space, to the planet, to outer space, to another planet, of cosmic proportions, of another world, with another planet, landing on the moon, building rocket ships, commanding a spaceship, going for a spacewalk, defending the Earth, guarding the galaxy, hunting aliens, making science fiction movies, performing moon walks, piloting a spaceship, piloting the lunar module, piloting the Millenium Falcon, starring in science fiction movies, on another planet, to the Death Star, into deep space, into space, into outer space, in the space shuttle, to the stars","impressed, saluting, pointing","space cadet a space cadet, an astronaut, a spaceman, a cosmonaut a spacesuit, a space suit, a spacecraft, a UFO, a rocket, a spaceship, a time traveler, a thrill ride, a space mission from the moon, in zero gravity, in a space suit, of infinite space, of space exploration,in a spacesuit, of discovery, to outer space, of space, in deep space, to Mars, for the intrepid, to Jupiter, on a comet, to Venus, of a UFO, to space camp, in a spaceship, in Star Trek, for Star Trek, on Star Wars, from star fleet, from Starfleet Command, to Mercury, on a rocket, to another planet, in a rocket, through the galaxy, through time and space, across the galaxy, of the galaxy, in a spacecraft, in a uniform, from another planet, for the stars, in outer space, of intergalactic space, to the planet, to outer space, to another planet, of cosmic proportions, of another world, with another planet, landing on the moon, building rocket ships, commanding a spaceship, going for a spacewalk, defending the Earth, guarding the galaxy, hunting aliens, making science fiction movies, performing moon walks, piloting a spaceship, piloting the lunar module, piloting the Millenium Falcon, starring in science fiction movies, on another planet, to the Death Star, into deep space, into space, into outer space, in the space shuttle, to the stars"
slicing,pose,"a slicer, a cutter","a slice, a cut, a cold slice, a tough cut, a prime piece, a biopsy","with a switchblade, brandishing a knife",cooking,"slicing a slicer, a cutter a slice, a cut, a cold slice, a tough cut, a prime piece, a biopsy with a switchblade, brandishing a knife"
styling,pose,"a stylist, an image consultant","style, fashion, a trend, a fad, a pair of safety scissors, a fashion legend, a costume, costumes, clothing","in the closet, to fashion trends, to fashion, of coat hangers, with long shears, of fashion sense, of style, of rusty scissors, of safety scissors, full of coat hangers, for clothes, of unmistakable individuality, of styles, for fashion, of fashion, designing clothes, designing haute couture, flaunting foppish fashions, making home-made clothes, pushing haute couture","posing, confident, blowdrying","styling a stylist, an image consultant style, fashion, a trend, a fad, a pair of safety scissors, a fashion legend, a costume, costumes, clothing in the closet, to fashion trends, to fashion, of coat hangers, with long shears, of fashion sense, of style, of rusty scissors, of safety scissors, full of coat hangers, for clothes, of unmistakable individuality, of styles, for fashion, of fashion, designing clothes, designing haute couture, flaunting foppish fashions, making home-made clothes, pushing haute couture"
summoning,pose,"the boss, a boss, an employer","a summons, a subpoena, a demand, royalty","to the throne, from a prince, of noble birth","purposeful, saluting","summoning the boss, a boss, an employer a summons, a subpoena, a demand, royalty to the throne, from a prince, of noble birth"
alarmed,pose,an alarmist,"alarm, an alarm, a surprise, a shock, a weird twist, a welcome jolt, a sharp jolt, a sharp exclamation, a giant jolt, a shock wave, surprise","of crucial importance, of critical importance, of paramount importance, of grave importance, of vital importance, of supreme importance, of fundamental importance, of enormous importance, of great significance, full of surprises, in an emergency, of stress hormones, making suspense movies, during a security alert","indicating, insisting","alarmed an alarmist alarm, an alarm, a surprise, a shock, a weird twist, a welcome jolt, a sharp jolt, a sharp exclamation, a giant jolt, a shock wave, surprise of crucial importance, of critical importance, of paramount importance, of grave importance, of vital importance, of supreme importance, of fundamental importance, of enormous importance, of great significance, full of surprises, in an emergency, of stress hormones, making suspense movies, during a security alert"
surprised,pose,,"a surprise, a shock, a sharp gasp, a gasp, a crazy day, a crazy night, a crazy question, a crazy sense, a crazy thing, a shock wave, surprise","of disturbing clues, of shocking surprises, of surprising events, of suspense, of epilepsy, of the hiccups, full of surprises, of astonishment, full of twists, of surprise, with a twist","hindering, shouting","surprised  a surprise, a shock, a sharp gasp, a gasp, a crazy day, a crazy night, a crazy question, a crazy sense, a crazy thing, a shock wave, surprise of disturbing clues, of shocking surprises, of surprising events, of suspense, of epilepsy, of the hiccups, full of surprises, of astonishment, full of twists, of surprise, with a twist"
swimming,pose,"a swimmer, a diver, female:a mermaid","a swim, a swimsuit, a dip, a swimming pool","in a swimming pool, in a hotel swimming pool, in a wading pool","rowing, surfing","swimming a swimmer, a diver, female:a mermaid a swim, a swimsuit, a dip, a swimming pool in a swimming pool, in a hotel swimming pool, in a wading pool"
telephoning,pose,"a caller, female:a call girl","a telephone, a telephone call, a phone call, a phonecall, an anonymous phone call, a telemarketing call, a cell phone, a telephone poll, a telephone wire, a phone cord","on the telephone, on the phone, on the line, in a phone booth, in a phone box, in a telephone box, of angry calls, falling for prank calls, making prank calls, phoning home, about talking on the telephone, making threatening phone calls","whispering, listening","telephoning a caller, female:a call girl a telephone, a telephone call, a phone call, a phonecall, an anonymous phone call, a telemarketing call, a cell phone, a telephone poll, a telephone wire, a phone cord on the telephone, on the phone, on the line, in a phone booth, in a phone box, in a telephone box, of angry calls, falling for prank calls, making prank calls, phoning home, about talking on the telephone, making threatening phone calls"
blasting,pose,"a berserker, a loose cannon, a hothead, a reactionary, a super villain, a war monger, a lightning rod","a thunderbolt, thunder, a curse, a war, a force, a flash, a thunderstorm, the energy, the flash, a blast, a true force, a criminal war, a constant barrage, the weather, an electric shock, the weapons of mass destruction, the military threat, a jihad, a military, a burst, the force, a nuclear blast, a nuclear bomb, a universal force, a war god,  a bolt, a blaster, a hydrogen bomb, an atom bomb, a nuke, force","from Allah, hardened by bitterness, of nuclear war, of military action, of zero tolerance, of Pearl Harbor, of a plasma cannon, of nuclear weapons, of war, of divine power, of power, of mass destruction, to unleash death, in war, of the apocalypse, with nuclear weapons, of a nuclear war, of awesome power, of dark energy, of lightning, amassing nuclear weapons, launching a war, launching foreign wars, promoting new wars, starting thunderstorms, of nuclear brinksmanship","scared, defensive, blocking, defiant","blasting a berserker, a loose cannon, a hothead, a reactionary, a super villain, a war monger, a lightning rod a thunderbolt, thunder, a curse, a war, a force, a flash, a thunderstorm, the energy, the flash, a blast, a true force, a criminal war, a constant barrage, the weather, an electric shock, the weapons of mass destruction, the military threat, a jihad, a military, a burst, the force, a nuclear blast, a nuclear bomb, a universal force, a war god,  a bolt, a blaster, a hydrogen bomb, an atom bomb, a nuke, force from Allah, hardened by bitterness, of nuclear war, of military action, of zero tolerance, of Pearl Harbor, of a plasma cannon, of nuclear weapons, of war, of divine power, of power, of mass destruction, to unleash death, in war, of the apocalypse, with nuclear weapons, of a nuclear war, of awesome power, of dark energy, of lightning, amassing nuclear weapons, launching a war, launching foreign wars, promoting new wars, starting thunderstorms, of nuclear brinksmanship"
